"Date ","Open","High","Low","Close","Prev. Close","Change","% Change"
"02-Jun-2017","       11.3075","       11.3075","       10.3125","       10.8100","       11.3075","       -0.5000","  -4.40"
"05-Jun-2017","       10.8100","       11.1425","       10.0525","       11.0150","       10.8100","        0.2100","   1.90"
"06-Jun-2017","       11.0150","       11.3200","        9.4900","       11.1325","       11.0150","        0.1200","   1.07"
"07-Jun-2017","       11.1325","       11.1850","       10.2225","       10.8900","       11.1325","       -0.2400","  -2.18"
"08-Jun-2017","       10.8900","       11.1275","        9.5275","       11.0675","       10.8900","        0.1800","   1.63"
"09-Jun-2017","       11.0675","       11.2250","       10.2750","       10.8625","       11.0675","       -0.2100","  -1.85"
"12-Jun-2017","       10.8625","       11.5025","       10.3525","       11.4225","       10.8625","        0.5600","   5.16"
"13-Jun-2017","       11.4225","       11.4625","        9.9025","       11.3400","       11.4225","       -0.0800","  -0.72"
"14-Jun-2017","       11.3400","       11.5275","       10.4400","       11.1800","       11.3400","       -0.1600","  -1.41"
"15-Jun-2017","       11.1800","       11.4300","        9.8850","       11.3250","       11.1800","        0.1500","   1.30"
"16-Jun-2017","       11.3250","       11.3250","        9.7125","       10.9150","       11.3250","       -0.4100","  -3.62"
"19-Jun-2017","       10.9150","       10.9150","        9.7425","       10.6275","       10.9150","       -0.2900","  -2.63"
"20-Jun-2017","       10.6275","       10.8725","        9.8200","       10.6575","       10.6275","        0.0300","   0.28"
"21-Jun-2017","       10.6575","       11.0550","        9.7750","       10.9150","       10.6575","        0.2600","   2.42"
"22-Jun-2017","       10.9150","       11.4200","       10.0700","       11.2075","       10.9150","        0.2900","   2.68"
"23-Jun-2017","       11.2075","       11.7800","        8.7550","       11.5575","       11.2075","        0.3500","   3.12"
"27-Jun-2017","       11.5575","       12.8675","       10.9300","       12.5075","       11.5575","        0.9500","   8.22"
"28-Jun-2017","       12.5075","       12.7550","       11.0925","       11.9900","       12.5075","       -0.5200","  -4.14"
"29-Jun-2017","       11.9900","       11.9900","       10.5950","       11.3825","       11.9900","       -0.6100","  -5.07"
"30-Jun-2017","       11.3825","       12.1025","       11.0775","       11.7325","       11.3825","        0.3500","   3.07"
"03-Jul-2017","       11.7325","       11.7500","       10.4550","       11.2000","       11.7325","       -0.5300","  -4.54"
